	file_pp	genid_new_name	culture_region
0	eamena_chalcolithic_northern_iran.json	eamena-period-0	Chalcolithic (Northern Iran)
1	eamena_chalcolithic_levant.json	eamena-period-1	Chalcolithic (Levant)
2	eamena_chalcolithic_khuzestan_iran.json	eamena-period-2	Chalcolithic (Khuzestan, Iran)
3	eamena_chalcolithic_central_zagros_iran.json	eamena-period-3	Chalcolithic (Central Zagros, Iran)
4	eamena_chalcolithic_mesopotamia.json	eamena-period-4	Chalcolithic (Mesopotamia)
5	eamena_chalcolithic_arabia.json	eamena-period-5	Chalcolithic (Arabia)
6	eamena_chalcolithic_southern_iran.json	eamena-period-6	Chalcolithic (Southern Iran)
7	eamena_palaeolithic_north_africa.json	eamena-period-7	Palaeolithic (North Africa)
8	eamena_palaeolithic_levant_mesopotamia_arabia.json	eamena-period-8	Palaeolithic (Levant/Mesopotamia/Arabia)
9	eamena_palaeolithic_iran.json	eamena-period-9	Palaeolithic (Iran)
10	eamena_contemporary_islamic_mena.json	eamena-period-10	Contemporary Islamic (MENA)
11	eamena_epipalaeolithic_levant_mesopotamia.json	eamena-period-11	Epipalaeolithic (Levant/Mesopotamia)
12	eamena_epipalaeolithic_arabia.json	eamena-period-12	Epipalaeolithic (Arabia)
13	eamena_epipalaeolithic_north_africa.json	eamena-period-13	Epipalaeolithic (North Africa)
14	eamena_epipalaeolithic_iran.json	eamena-period-14	Epipalaeolithic (Iran)
15	eamena_pre_dynastic_egypt.json	eamena-period-15	Pre-Dynastic (Egypt)
16	eamena_bronze_age_northwest_iran.json	eamena-period-16	Bronze Age (Northwest Iran)
17	eamena_bronze_age_khuzestan_iran.json	eamena-period-17	Bronze Age (Khuzestan, Iran)
18	eamena_bronze_age_northeast_iran.json	eamena-period-18	Bronze Age (Northeast Iran)
19	eamena_bronze_age_southern_mesopotamia.json	eamena-period-19	Bronze Age (Southern Mesopotamia)
20	eamena_bronze_age_arabia.json	eamena-period-20	Bronze Age (Arabia)
21	eamena_bronze_age_levant.json	eamena-period-21	Bronze Age (Levant)
22	eamena_bronze_age_central_zagros_iran.json	eamena-period-22	Bronze Age (Central Zagros, Iran)
23	eamena_bronze_age_southern_iran.json	eamena-period-23	Bronze Age (Southern Iran)
24	eamena_bronze_age_northern_mesopotamia.json	eamena-period-24	Bronze Age (Northern Mesopotamia)
25	eamena_classical_pre_islamic_levant_mesopotamia_iran_northern_arabia.json	eamena-period-25	Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia)
26	eamena_classical_protohistoric_pre_islamic_north_africa.json	eamena-period-26	Classical/Protohistoric/Pre-Islamic (North Africa)
27	eamena_south_arabian_period_southern_arabia.json	eamena-period-27	South Arabian Period (Southern Arabia)
28	eamena_islamic_levant_arabia.json	eamena-period-28	Islamic (Levant/Arabia)
29	eamena_islamic_iraq.json	eamena-period-29	Islamic (Iraq)
30	eamena_islamic_iran.json	eamena-period-30	Islamic (Iran)
31	eamena_islamic_north_africa.json	eamena-period-31	Islamic (North Africa)
32	eamena_dynastic_egypt_egypt.json	eamena-period-32	Dynastic Egypt (Egypt)
33	eamena_neolithic_egypt.json	eamena-period-33	Neolithic (Egypt)
34	eamena_neolithic_arabia.json	eamena-period-34	Neolithic (Arabia)
35	eamena_neolithic_maghreb.json	eamena-period-35	Neolithic (Maghreb)
36	eamena_neolithic_levant_mesopotamia.json	eamena-period-36	Neolithic (Levant/Mesopotamia)
37	eamena_iron_age_levant_mesopotamia.json	eamena-period-37	Iron Age (Levant/Mesopotamia)
38	eamena_iron_age_arabia.json	eamena-period-38	Iron Age (Arabia)
39	eamena_iron_age_iran.json	eamena-period-39	Iron Age (Iran)
40	eamena_iron_age_maghreb.json	eamena-period-40	Iron Age (Maghreb)
41	eamena_vandal_maghreb.json	eamena-period-41	Vandal (Maghreb)
42	eamena_roman_late_antique_north_africa.json	eamena-period-42	Roman/Late Antique (North Africa)
43	eamena_protohistoric_late_mauritania.json	eamena-period-43	Protohistoric, Late (Mauritania)
44	eamena_byzantine_cyrenaica_egypt.json	eamena-period-44	Byzantine (Cyrenaica/Egypt)
45	eamena_hellenistic_ptolemaic_cyrenaica_egypt.json	eamena-period-45	Hellenistic/Ptolemaic (Cyrenaica/Egypt)
46	eamena_protohistoric_late_north_africa.json	eamena-period-46	Protohistoric, Late (North Africa)
47	eamena_protohistoric_early_mauritania.json	eamena-period-47	Protohistoric, Early (Mauritania)
48	eamena_classical_cyrenaica.json	eamena-period-48	Classical (Cyrenaica)
49	eamena_byzantine_maghreb.json	eamena-period-49	Byzantine (Maghreb)
50	eamena_punic_late_maghreb.json	eamena-period-50	Punic, Late (Maghreb)
51	eamena_roman_republican_maghreb.json	eamena-period-51	Roman, Republican (Maghreb)
52	eamena_protohistoric_middle_north_africa.json	eamena-period-52	Protohistoric, Middle (North Africa)
53	eamena_protohistoric_early_north_africa.json	eamena-period-53	Protohistoric, Early (North Africa)
54	eamena_chalcolithic_early_ubaid_mesopotamia.json	eamena-period-54	Chalcolithic, Early/Ubaid (Mesopotamia)
55	eamena_late_bronze_age_arabia.json	eamena-period-55	Late Bronze Age (Arabia)
56	eamena_early_bronze_age_arabia.json	eamena-period-56	Early Bronze Age (Arabia)
57	eamena_chalcolithic_late_5_northern_mesopotamia.json	eamena-period-57	Chalcolithic, Late 5 (Northern Mesopotamia)
58	eamena_chalcolithic_late_1_northern_mesopotamia.json	eamena-period-58	Chalcolithic, Late 1 (Northern Mesopotamia)
59	eamena_chalcolithic_late_3_northern_mesopotamia.json	eamena-period-59	Chalcolithic, Late 3 (Northern Mesopotamia)
60	eamena_chalcolithic_late_4_northern_mesopotamia.json	eamena-period-60	Chalcolithic, Late 4 (Northern Mesopotamia)
61	eamena_chalcolithic_late_2_northern_mesopotamia.json	eamena-period-61	Chalcolithic, Late 2 (Northern Mesopotamia)
62	eamena_chalcolithic_early_central_zagros_iran.json	eamena-period-62	Chalcolithic, Early (Central Zagros, Iran)
63	eamena_chalcolithic_middle_central_zagros_iran.json	eamena-period-63	Chalcolithic, Middle (Central Zagros, Iran)
64	eamena_chalcolithic_late_central_zagros_iran.json	eamena-period-64	Chalcolithic, Late (Central Zagros, Iran)
65	eamena_middle_south_arabian_southern_arabia.json	eamena-period-65	Middle South Arabian (Southern Arabia)
66	eamena_late_south_arabian_southern_arabia.json	eamena-period-66	Late South Arabian (Southern Arabia)
67	eamena_early_south_arabian_southern_arabia.json	eamena-period-67	Early South Arabian (Southern Arabia)
68	eamena_bronze_age_early_dynastic_ii_southern_mesopotamia.json	eamena-period-68	Bronze Age, Early Dynastic II (Southern Mesopotamia)
69	eamena_bronze_age_early_dynastic_i_southern_mesopotamia.json	eamena-period-69	Bronze Age, Early Dynastic I (Southern Mesopotamia)
70	eamena_bronze_age_early_dynastic_iii_southern_mesopotamia.json	eamena-period-70	Bronze Age, Early Dynastic III (Southern Mesopotamia)
71	eamena_late_bronze_age_1_levant.json	eamena-period-71	Late Bronze Age 1 (Levant)
72	eamena_late_bronze_age_2_levant.json	eamena-period-72	Late Bronze Age 2 (Levant)
73	eamena_middle_iron_age_arabia.json	eamena-period-73	Middle Iron Age (Arabia)
74	eamena_late_iron_age_arabia.json	eamena-period-74	Late Iron Age (Arabia)
75	eamena_early_iron_age_arabia.json	eamena-period-75	Early Iron Age (Arabia)
76	eamena_proto_south_arabian_southern_arabia.json	eamena-period-76	Proto South Arabian (Southern Arabia)
77	eamena_chalcolithic_early_levant.json	eamena-period-77	Chalcolithic, Early (Levant)
78	eamena_chalcolithic_late_levant.json	eamena-period-78	Chalcolithic, Late (Levant)
79	eamena_early_bronze_age_4_southern_levant.json	eamena-period-79	Early Bronze Age 4 (Southern Levant)
80	eamena_early_bronze_age_1_southern_levant.json	eamena-period-80	Early Bronze Age 1 (Southern Levant)
81	eamena_early_bronze_age_3_southern_levant.json	eamena-period-81	Early Bronze Age 3 (Southern Levant)
82	eamena_early_bronze_age_2_southern_levant.json	eamena-period-82	Early Bronze Age 2 (Southern Levant)
83	eamena_chalcolithic_susa_i_khuzestan_iran.json	eamena-period-83	Chalcolithic, Susa I (Khuzestan, Iran)
84	eamena_chalcolithic_late_susiana_khuzestan_iran.json	eamena-period-84	Chalcolithic, Late Susiana (Khuzestan, Iran)
