level1-en	level1-ar	level2-en	level2-ar	level3-en	level3-ar	Unnamed: 6	Unnamed: 7
Palaeolithic	العصر الحجري القديم	Palaeolithic (Levant/Mesopotamia/Arabia)	العصر الحجري القديم (الشام/ بلاد الرافدين/ الجزيرة العربية)	Palaeolithic, Lower (Levant/Arabia/Mesopotamia)	العصر الحجري القديم، سفلي (الشام/ الجزيرة العربية/ بلاد الرافدين)	-14000000	-250000
Palaeolithic	العصر الحجري القديم	Palaeolithic (Levant/Mesopotamia/Arabia)	العصر الحجري القديم (الشام/ بلاد الرافدين/ الجزيرة العربية)	Palaeolithic, Middle (Levant/Arabia/Mesopotamia)	العصر الحجري القديم، متوسط (الشام/ الجزيرة العربية/ بلاد الرافدين)	-250000	-45000
Palaeolithic	العصر الحجري القديم	Palaeolithic (Levant/Mesopotamia/Arabia)	العصر الحجري القديم (الشام/ بلاد الرافدين/ الجزيرة العربية)	Palaeolithic, Upper (Levant/Arabia/Mesopotamia)	العصر الحجري القديم، علوي (الشام/ الجزيرة العربية/ بلاد الرافدين)	-45000	-18000
Palaeolithic	العصر الحجري القديم	Palaeolithic (Iran)	العصر الحجري القديم (إيران)	Palaeolithic, Lower (Iran)	العصر الحجري القديم، سفلي (إيران)	(Unknown)	-250000
Palaeolithic	العصر الحجري القديم	Palaeolithic (Iran)	العصر الحجري القديم (إيران)	Palaeolithic, Middle (Iran)	العصر الحجري القديم، متوسط (إيران)	-250000	-45000
Palaeolithic	العصر الحجري القديم	Palaeolithic (Iran)	العصر الحجري القديم (إيران)	Palaeolithic, Upper (Iran)	العصر الحجري القديم، علوي (اإيران)	-45000	-18000
Palaeolithic	العصر الحجري القديم	Palaeolithic (North Africa)	العصر الحجري القديم (شمال أفريقيا)	Palaeolithic, Lower (North Africa)	العصر الحجري القديم، سفلي (شمال أفريقيا)	-700000	-250000
Palaeolithic	العصر الحجري القديم	Palaeolithic (North Africa)	العصر الحجري القديم (شمال أفريقيا)	Palaeolithic, Middle (North Africa)	العصر الحجري القديم، متوسط (شمال أفريقيا)	-250000	-70000
Palaeolithic	العصر الحجري القديم	Palaeolithic (North Africa)	العصر الحجري القديم (شمال أفريقيا)	Palaeolithic, Upper (North Africa)	العصر الحجري القديم، علوي (شمال أفريقيا)	-70000	-10000
Epipalaeolithic	العصر الحجري القديم الأوسط	Epipalaeolithic (Levant/Mesopotamia)	العصر الحجري القديم الأوسط (الشام/ بلاد الرافدين)	Epipalaeolithic, Early (Levant/Mesopotamia)	العصر الحجري القديم  الأوسط، مبكر (الشام/ بلاد الرافدين)	-18000	-12500
Epipalaeolithic	العصر الحجري القديم الأوسط	Epipalaeolithic (Levant/Mesopotamia)	العصر الحجري القديم الأوسط (الشام/ بلاد الرافدين)	Epipalaeolithic, Late (Levant/Mesopotamia)	العصر الحجري القديم  الأوسط، متأخر (الشام/ بلاد الرافدين)	-12500	-10000
